model_id,model_year,trim_key,source,price_type,change,s0_value,s0_status,s1_value,s1_status,delta_egp
m_000017,2026,automticadventureplus44,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000017,2026,automticcomfort,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000017,2026,luxury,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000017,2026,premium,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000017,2026,automticadvanced,hatla2ee,official,UNCHANGED,1720002,OK,1720002,OK,
m_000017,2026,automticadventureplus44,hatla2ee,official,UNCHANGED,1999000,OK,1999000,OK,
m_000017,2026,automticcomfort,hatla2ee,official,UNCHANGED,1585000,OK,1585000,OK,
m_000017,2026,luxury,hatla2ee,official,UNCHANGED,1980000,OK,1980000,OK,
m_000017,2026,premium,hatla2ee,official,UNCHANGED,1850001,OK,1850001,OK,
m_000018,2026,ev,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000018,2027,dmiluxury,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000018,2027,dmiultra,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
