row_fingerprint,master_line,source,brand_raw,model_raw,trim_raw,model_year_raw,brand_id,model_id,method,trim_key,is_summary_row
965a6f609a3f,135,ContactCars,Hyundai,Tucson,REDLINE,2026,hyundai,hyundai/tucson,exact_normalized,redline,no
3d169a92a582,136,ContactCars,Hyundai,Tucson,REDLINE N PACK,2026,hyundai,hyundai/tucson,exact_normalized,redlinenpack,no
89c4aab9d9af,137,ContactCars,Hyundai,Tucson,NIGHT,2026,hyundai,hyundai/tucson,exact_normalized,night,no
0389ffdc689b,138,ContactCars,Hyundai,Tucson,BLACK DIAMOND,2026,hyundai,hyundai/tucson,exact_normalized,blackdiamond,no
61c62e5b177f,139,ContactCars,Hyundai,Tucson,NLINE (AWD),2026,hyundai,hyundai/tucson,exact_normalized,nlineawd,no
38238216a32b,140,ContactCars,Hyundai,Tucson,SHADOW,2027,hyundai,hyundai/tucson,exact_normalized,shadow,no
c021d128160b,141,ContactCars,Hyundai,Tucson,BLAZE,2027,hyundai,hyundai/tucson,exact_normalized,blaze,no
d1e80afa1a5b,142,ContactCars,Hyundai,Tucson,REDLINE,2027,hyundai,hyundai/tucson,exact_normalized,redline,no
275d5961f323,143,ContactCars,Hyundai,Tucson,REDLINE (N Pack),2027,hyundai,hyundai/tucson,exact_normalized,redlinenpack,no
322bc7f93ebb,144,ContactCars,Hyundai,Tucson,NIGHT,2027,hyundai,hyundai/tucson,exact_normalized,night,no
2b68bd74a76c,145,ContactCars,Hyundai,Tucson,BLACK DIAMOND,2027,hyundai,hyundai/tucson,exact_normalized,blackdiamond,no
c2a15befc03c,146,ContactCars,Hyundai,Tucson,NLINE (AWD),2027,hyundai,hyundai/tucson,exact_normalized,nlineawd,no
ab4ac04c97e8,147,EgyCar,Hyundai,Tucson,SHADOW,2027,hyundai,hyundai/tucson,exact_normalized,shadow,no
d5ca31aa266c,148,EgyCar,Hyundai,Tucson,BLAZE,2027,hyundai,hyundai/tucson,exact_normalized,blaze,no
6ebfbe3fb0a7,149,EgyCar,Hyundai,Tucson,REDLINE,2027,hyundai,hyundai/tucson,exact_normalized,redline,no
0936bd417fad,150,EgyCar,Hyundai,Tucson,REDLINE N-Line,2027,hyundai,hyundai/tucson,exact_normalized,redlinenline,no
2896e591a271,151,EgyCar,Hyundai,Tucson,NIGHT,2027,hyundai,hyundai/tucson,exact_normalized,night,no
3eb3654a8647,152,EgyCar,Hyundai,Tucson,BLACK DIAMOND,2027,hyundai,hyundai/tucson,exact_normalized,blackdiamond,no
47a449c554b5,153,EgyCar,Hyundai,Tucson,NLINE,2027,hyundai,hyundai/tucson,exact_normalized,nline,no
72ed948c2da6,154,Hatla2ee,Hyundai,Tucson,SHADOW,2027,hyundai,hyundai/tucson,exact_normalized,shadow,no
0cac01ba0937,155,Hatla2ee,Hyundai,Tucson,Blaze,2027,hyundai,hyundai/tucson,exact_normalized,blaze,no
34a89546406c,156,Hatla2ee,Hyundai,Tucson,Redine,2027,hyundai,hyundai/tucson,exact_normalized,redine,no
3e4afa5ebcbb,157,Hatla2ee,Hyundai,Tucson,Redine (N Pack),2027,hyundai,hyundai/tucson,exact_normalized,redinenpack,no
020af2b7be9e,158,Hatla2ee,Hyundai,Tucson,NIGHT,2027,hyundai,hyundai/tucson,exact_normalized,night,no
30763abc0234,159,Hatla2ee,Hyundai,Tucson,BLACK DIAMOND,2027,hyundai,hyundai/tucson,exact_normalized,blackdiamond,no
cf26876dfa84,160,Hatla2ee,Hyundai,Tucson,N-Line,2027,hyundai,hyundai/tucson,exact_normalized,nline,no
c2ac83326faf,161,Hatla2ee,Hyundai,Tucson,SHADOW,2025,hyundai,hyundai/tucson,exact_normalized,shadow,no
ac1a465f57f5,162,Hatla2ee,Hyundai,Tucson,Blaze,2025,hyundai,hyundai/tucson,exact_normalized,blaze,no
ea7848af7f7e,163,Hatla2ee,Hyundai,Tucson,Redine,2025,hyundai,hyundai/tucson,exact_normalized,redine,no
2763bbfb9654,164,Hatla2ee,Hyundai,Tucson,NIGHT,2025,hyundai,hyundai/tucson,exact_normalized,night,no
e42ff9ba82b9,165,Hatla2ee,Hyundai,Tucson,BLACK DIAMOND,2025,hyundai,hyundai/tucson,exact_normalized,blackdiamond,no
79d2914d3a4a,166,Hatla2ee,Hyundai,Tucson,N-Line,2025,hyundai,hyundai/tucson,exact_normalized,nline,no
6b19d191cd68,167,ContactCars,Hyundai,i 30,HB BLAZE,2026,hyundai,hyundai/i30,exact_normalized,hbblaze,no
1e6606d16edf,168,ContactCars,Hyundai,i 30,FB BLAZE,2026,hyundai,hyundai/i30,exact_normalized,fbblaze,no
d2c20bb4de71,169,ContactCars,Hyundai,i 30,SW BLAZE,2026,hyundai,hyundai/i30,exact_normalized,swblaze,no
89e326f328c5,170,ContactCars,Hyundai,i 30,HB REDLINE,2026,hyundai,hyundai/i30,exact_normalized,hbredline,no
73b597cb2815,171,ContactCars,Hyundai,i 30,SW REDLINE,2026,hyundai,hyundai/i30,exact_normalized,swredline,no
b3536340ce1e,172,ContactCars,Hyundai,i 30,FB REDLINE,2026,hyundai,hyundai/i30,exact_normalized,fbredline,no
0d0fca0e98f2,173,ContactCars,Hyundai,i 30,HB NLINE,2026,hyundai,hyundai/i30,exact_normalized,hbnline,no
696520d39ab9,174,ContactCars,Hyundai,i 30,FB NLINE,2026,hyundai,hyundai/i30,exact_normalized,fbnline,no
9dea66ffddeb,175,EgyCar,Hyundai,i30,Blaze Hatchback,2026,hyundai,hyundai/i30,exact_normalized,blazehatchback,no
9c272ce6435d,176,EgyCar,Hyundai,i30,Redline Hatchback,2026,hyundai,hyundai/i30,exact_normalized,redlinehatchback,no
92dee74df198,177,EgyCar,Hyundai,i30,N Line Hatchback,2026,hyundai,hyundai/i30,exact_normalized,nlinehatchback,no
f6b71cf56100,178,EgyCar,Hyundai,i30,Blaze Fastback,2026,hyundai,hyundai/i30,exact_normalized,blazefastback,no
066aec64fcb7,179,EgyCar,Hyundai,i30,Redline Fastback,2026,hyundai,hyundai/i30,exact_normalized,redlinefastback,no
2ae5ddeea448,180,EgyCar,Hyundai,i30,N Line Fastback,2026,hyundai,hyundai/i30,exact_normalized,nlinefastback,no
89628b889caf,181,ContactCars,Hyundai,Elantra AD,Baseline,2026,hyundai,hyundai/elantra-ad,exact_normalized,baseline,no
169f976afe5b,182,ContactCars,Hyundai,Elantra AD,Modern,2026,hyundai,hyundai/elantra-ad,exact_normalized,modern,no
9563569be4c2,183,ContactCars,Hyundai,Elantra AD,MODERN Sunroof,2026,hyundai,hyundai/elantra-ad,exact_normalized,modernsunroof,no
cc718d27a37d,184,ContactCars,Hyundai,Elantra AD,Topline,2026,hyundai,hyundai/elantra-ad,exact_normalized,topline,no
b1a533f1f7fd,185,ContactCars,Hyundai,Elantra AD,1.6 AT BASELINE,2027,hyundai,hyundai/elantra-ad,exact_normalized,16atbaseline,no
8445ffbb7c9b,186,ContactCars,Hyundai,Elantra AD,1.6 AT MODERN,2027,hyundai,hyundai/elantra-ad,exact_normalized,16atmodern,no
9a7180fc6d08,187,ContactCars,Hyundai,Elantra AD,1.6 AT MODERN Sunroof,2027,hyundai,hyundai/elantra-ad,exact_normalized,16atmodernsunroof,no
dfa33d4c160d,188,ContactCars,Hyundai,Elantra AD,1.6 AT TOPLINE,2027,hyundai,hyundai/elantra-ad,exact_normalized,16attopline,no
4eee349b9ab2,189,EgyCar,Hyundai,Elantra AD,Baseline,2027,hyundai,hyundai/elantra-ad,exact_normalized,baseline,no
9f97513bc343,190,EgyCar,Hyundai,Elantra AD,Modern,2027,hyundai,hyundai/elantra-ad,exact_normalized,modern,no
018ad0b49d96,191,EgyCar,Hyundai,Elantra AD,Modern + Sunroof,2027,hyundai,hyundai/elantra-ad,exact_normalized,modernsunroof,no
945d5a9789de,192,EgyCar,Hyundai,Elantra AD,Topline,2027,hyundai,hyundai/elantra-ad,exact_normalized,topline,no
8824f97f69f7,193,ContactCars,Hyundai,IONIQ 5,Connect Plus LR RR,2025,hyundai,hyundai/ioniq-5,exact_normalized,connectpluslrrr,no
9ef3801437a9,194,ContactCars,Hyundai,IONIQ 5,Extreme LR RR,2025,hyundai,hyundai/ioniq-5,exact_normalized,extremelrrr,no
925c3bec018c,195,ContactCars,Hyundai,IONIQ 5,Extreme LR AWD,2025,hyundai,hyundai/ioniq-5,exact_normalized,extremelrawd,no
6c6c14565463,196,ContactCars,Hyundai,IONIQ 5,N BOOST 84,2025,hyundai,hyundai/ioniq-5,exact_normalized,nboost84,no
09477ca5073c,197,ContactCars,Hyundai,Venue,1.6 A/T Mid,2027,hyundai,hyundai/venue,exact_normalized,16atmid,no
3b65c99a0338,198,ContactCars,Hyundai,Venue,1.6 A/T,2027,hyundai,hyundai/venue,exact_normalized,16at,no
4f68195166e6,199,ContactCars,Hyundai,Venue,1.6 A/T Topline,2027,hyundai,hyundai/venue,exact_normalized,16attopline,no
2a7f0a92cfd8,200,ContactCars,Hyundai,IONIQ 6,EXTREME LONG RANGE RWD,2025,hyundai,hyundai/ioniq-6,exact_normalized,extremelongrangerwd,no
41547c56d4f9,201,ContactCars,Hyundai,IONIQ 6,EXTREME LONG RANGE AWD,2025,hyundai,hyundai/ioniq-6,exact_normalized,extremelongrangeawd,no
8bb292f1aacb,202,ContactCars,Hyundai,IONIQ 9,Connect,2026,hyundai,hyundai/ioniq-9,exact_normalized,connect,no
b2d75a23d840,203,ContactCars,Hyundai,IONIQ 9,Extreme,2026,hyundai,hyundai/ioniq-9,exact_normalized,extreme,no
